run_id,run_dir,input_source,n_total,n_train,n_val,n_test,split,model,accuracy,macro_f1,weighted_f1
20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/ai/run_20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/ai,427,298,64,65,test,heuristic,1.0,1.0,1.0
20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/ai/run_20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/ai,427,298,64,65,test,tfidf_logreg_c1.0,0.5076923076923077,0.49076172054895456,0.48555699619529413
20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/ai/run_20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/ai,427,298,64,65,validation,heuristic,1.0,1.0,1.0
20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/ai/run_20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/ai,427,298,64,65,validation,selected_non_heuristic,0.421875,0.4196969696969697,0.4147017045454545
20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/ai/run_20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c0.25,0.375,0.3653270291568163,0.35084219858156024
20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/ai/run_20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c1.0,0.375,0.3641534391534392,0.3488157242063492
20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/ai/run_20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c4.0,0.375,0.36469661150512217,0.3482565011820331
20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/ai/run_20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/ai,427,298,64,65,validation,tfidf_logreg_c0.25,0.359375,0.3438577682480122,0.3489999329938354
20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/ai/run_20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/ai,427,298,64,65,validation,tfidf_logreg_c1.0,0.421875,0.4196969696969697,0.4147017045454545
20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/ai/run_20260529_145728,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/ai,427,298,64,65,validation,tfidf_logreg_c4.0,0.390625,0.3853834492132364,0.3749003476397093
20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/manual/run_20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/manual,427,298,64,65,test,heuristic,0.47692307692307695,0.4006734006734007,0.5412587412587412
20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/manual/run_20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/manual,427,298,64,65,test,tfidf_logreg_c1.0,0.7538461538461538,0.47267417605340006,0.729931645325888
20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/manual/run_20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/manual,427,298,64,65,validation,heuristic,0.484375,0.43130434782608695,0.5044021739130434
20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/manual/run_20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/manual,427,298,64,65,validation,selected_non_heuristic,0.6875,0.43775593775593774,0.6530635749385749
20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/manual/run_20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c0.25,0.65625,0.3718869731800767,0.5816047054597702
20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/manual/run_20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c1.0,0.640625,0.37589605734767034,0.5816742271505377
20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/manual/run_20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c4.0,0.65625,0.3718869731800767,0.5816047054597702
20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/manual/run_20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/manual,427,298,64,65,validation,tfidf_logreg_c0.25,0.671875,0.42831215970961883,0.6395757713248638
20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/manual/run_20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/manual,427,298,64,65,validation,tfidf_logreg_c1.0,0.6875,0.43775593775593774,0.6530635749385749
20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/runs/manual/run_20260529_145733,outputs/stability_5x/20260529_145642/seed_43/20260529_145727/splits/manual,427,298,64,65,validation,tfidf_logreg_c4.0,0.6875,0.43068783068783073,0.6466269841269842
20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/ai/run_20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/ai,427,298,64,65,test,heuristic,1.0,1.0,1.0
20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/ai/run_20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/ai,427,298,64,65,test,tfidf_linear_svc_c4.0,0.47692307692307695,0.45844139444978677,0.4746792910443579
